timestamp,order_id,driver_id,score,probability,result
2026-08-12 06:06:00,O0032,D012,53.63,0.0352,allocated
2026-08-12 21:21:00,O0033,D020,52.34,0.0287,allocated
2026-08-12 20:07:00,O0034,D029,59.07,0.1169,allocated
2026-08-12 15:26:00,O0035,D001,62.76,0.209,allocated
2026-08-12 06:27:00,O0036,D011,61.84,0.1176,allocated
2026-08-12 20:06:00,O0037,D018,63.16,0.1941,allocated
2026-08-12 10:23:00,O0038,D002,55.39,0.0421,allocated
2026-08-12 22:39:00,O0039,D022,54.71,0.0694,allocated
2026-08-12 12:44:00,O0040,D012,62.76,0.1827,allocated
2026-08-13 11:25:00,O0041,D005,45.22,0.0213,allocated
2026-08-13 13:52:00,O0042,D030,65.53,0.275,cancelled
2026-08-13 10:29:00,O0043,D005,61.8,0.3714,allocated
2026-08-13 15:34:00,O0044,D001,53.68,0.0636,allocated
2026-08-13 13:33:00,O0045,D006,40.46,0.0051,allocated
2026-08-13 08:22:00,O0046,D027,60.22,0.1712,allocated
2026-08-13 13:14:00,O0047,D019,57.21,0.0707,allocated
2026-08-13 22:07:00,O0048,D020,61.32,0.2601,allocated
2026-08-13 21:10:00,O0049,D015,54.03,0.2598,allocated
2026-08-13 16:50:00,O0050,D001,58.13,0.1661,allocated
2026-08-13 17:23:00,O0051,D023,49.22,0.0271,allocated
2026-08-13 22:32:00,O0052,D019,51.68,0.2455,allocated
2026-08-13 08:22:00,O0053,D009,56.15,0.1615,allocated
2026-08-13 17:00:00,O0054,D002,53.25,0.0834,allocated
2026-08-13 09:02:00,O0055,D015,60.75,0.1313,allocated
2026-08-13 06:35:00,O0056,D005,63.22,0.3576,allocated
2026-08-13 07:33:00,O0057,D024,56.38,0.1501,allocated
2026-08-13 09:08:00,O0058,D024,59.53,0.0768,allocated
2026-08-13 13:49:00,O0059,D019,55.08,0.1472,allocated
2026-08-13 07:56:00,O0060,D005,66.49,0.348,allocated
2026-08-14 09:19:00,O0061,D014,61.27,0.19,allocated
2026-08-14 10:00:00,O0062,D017,59.75,0.3284,allocated
2026-08-14 15:37:00,O0063,D015,27.25,0.0011,allocated
2026-08-14 11:47:00,O0064,D007,56.26,0.2372,allocated
2026-08-14 12:50:00,O0065,D014,57.72,0.3212,allocated
2026-08-14 12:50:00,O0066,D014,58.2,0.3647,allocated
2026-08-14 07:06:00,O0067,D011,67.45,0.3989,allocated
2026-08-14 12:02:00,O0068,D006,48.36,0.0234,allocated
2026-08-14 09:01:00,O0069,D017,63.24,0.4188,allocated
2026-08-14 13:49:00,O0070,D014,60.34,0.2947,allocated
2026-08-14 09:08:00,O0071,D017,65.13,0.504,allocated
2026-08-14 14:06:00,O0072,D013,42.15,0.0248,allocated
2026-08-14 12:56:00,O0073,D007,60.82,0.495,allocated
2026-08-14 12:23:00,O0074,D023,62.7,0.3765,allocated
2026-08-14 21:05:00,O0075,D015,44.6,0.1153,allocated
2026-08-14 22:25:00,O0076,D025,49.41,0.0955,allocated
2026-08-14 12:17:00,O0077,D007,60.54,0.368,allocated
2026-08-14 12:15:00,O0078,D006,52.85,0.1383,allocated
2026-08-14 20:03:00,O0079,D016,62.16,0.3815,allocated
2026-08-14 14:33:00,O0080,D014,59.9,0.5935,allocated
2026-08-15 12:37:00,O0081,D030,62.95,0.5456,cancelled
2026-08-15 08:03:00,O0082,D011,63.68,0.2718,allocated
2026-08-15 08:10:00,O0083,D004,61.78,0.4867,allocated
2026-08-15 10:08:00,O0084,D015,43.63,0.0103,allocated
2026-08-15 06:32:00,O0085,D008,57.77,0.1843,allocated
2026-08-15 13:28:00,O0086,D015,41.21,0.0053,allocated
2026-08-15 22:44:00,O0087,D018,44.75,0.1817,allocated
2026-08-15 18:09:00,O0088,D016,63.81,0.5263,allocated
2026-08-15 16:22:00,O0089,D022,55.54,0.3559,allocated
2026-08-15 09:51:00,O0090,D021,53.97,0.1391,allocated
2026-08-15 22:53:00,O0091,D020,56.77,0.4825,allocated
2026-08-15 13:17:00,O0092,D002,53.04,0.1053,allocated
2026-08-15 14:54:00,O0093,D026,44.88,0.0492,allocated
2026-08-15 22:18:00,O0094,D022,56.69,0.5411,allocated
2026-08-15 19:21:00,O0095,D022,49.36,0.0554,allocated
2026-08-15 06:44:00,O0096,D011,64.34,0.5347,allocated
2026-08-15 07:43:00,O0097,D010,55.86,0.0599,allocated
2026-08-15 18:57:00,O0098,D018,63.19,0.4647,allocated
2026-08-15 16:22:00,O0099,D027,52.08,0.1621,allocated
2026-08-15 08:38:00,O0100,D008,57.83,0.0579,allocated
2026-08-16 19:27:00,O0101,D002,59.19,0.2965,allocated
2026-08-16 19:10:00,O0102,D003,59.36,0.4381,allocated
2026-08-16 11:00:00,O0103,D025,44.35,0.0601,allocated
2026-08-16 10:04:00,O0104,D002,57.06,0.1464,allocated
2026-08-16 06:48:00,O0105,D004,65.53,0.6175,allocated
2026-08-16 06:12:00,O0106,D004,66.25,0.5969,allocated
2026-08-16 08:53:00,O0107,D017,63.04,0.5751,allocated
2026-08-16 18:27:00,O0108,D002,53.3,0.1755,allocated
2026-08-16 21:30:00,O0109,D020,58.6,0.5641,allocated
2026-08-16 22:54:00,O0110,D025,55.18,0.4602,allocated
2026-08-16 21:33:00,O0111,D008,49.52,0.0632,cancelled
2026-08-16 06:48:00,O0112,D017,61.8,0.4374,allocated
2026-08-16 14:33:00,O0113,D013,48.96,0.166,allocated
2026-08-16 16:02:00,O0114,D026,51.08,0.1579,allocated
2026-08-16 21:07:00,O0115,D026,47.97,0.0526,allocated
2026-08-16 14:46:00,O0116,D005,47.41,0.0807,allocated
2026-08-16 14:10:00,O0117,D001,59.34,0.4925,allocated
2026-08-16 17:27:00,O0118,D018,59.77,0.3246,allocated
2026-08-16 08:32:00,O0119,D008,60.92,0.1967,allocated
2026-08-16 20:33:00,O0120,D002,59.16,0.3012,allocated
2026-08-17 20:22:00,O0121,D013,53.83,0.0899,allocated
2026-08-17 22:43:00,O0122,D010,55.33,0.3005,allocated
2026-08-17 13:14:00,O0123,D013,49.91,0.0296,allocated
2026-08-17 20:48:00,O0124,D029,57.78,0.1504,allocated
2026-08-17 17:02:00,O0125,D013,50.26,0.0827,allocated
2026-08-17 10:25:00,O0126,D011,64.17,0.4996,allocated
2026-08-17 08:10:00,O0127,D002,51.59,0.1071,allocated
2026-08-17 17:40:00,O0128,D018,58.13,0.2911,allocated
2026-08-17 21:08:00,O0129,D002,47.12,0.0735,allocated
2026-08-17 08:37:00,O0130,D019,33.59,0.0028,allocated
2026-08-17 14:28:00,O0131,D030,35.8,0.0123,cancelled
2026-08-17 17:06:00,O0132,D018,55.73,0.2087,allocated
2026-08-17 08:46:00,O0133,D002,56.68,0.1522,allocated
2026-08-17 10:55:00,O0134,D008,58.32,0.2557,allocated
2026-08-17 13:59:00,O0135,D007,61.39,0.3563,allocated
2026-08-17 11:31:00,O0136,D012,52.66,0.0958,allocated
2026-08-17 08:50:00,O0137,D017,60.69,0.4286,allocated
2026-08-17 08:20:00,O0138,D027,57.14,0.1379,allocated
2026-08-17 06:30:00,O0139,D017,61.7,0.4318,allocated
2026-08-17 17:38:00,O0140,D022,49.91,0.1636,allocated
2026-08-18 07:32:00,O0141,D004,57.27,0.3401,allocated
2026-08-18 11:26:00,O0142,D007,63.18,0.5877,allocated
2026-08-18 12:35:00,O0143,D007,65.49,0.6003,allocated
2026-08-18 19:29:00,O0144,D016,63.2,0.5706,allocated
2026-08-18 20:11:00,O0145,D016,62.85,0.6968,allocated
2026-08-18 14:21:00,O0146,D001,54.92,0.2902,allocated
2026-08-18 21:37:00,O0147,D020,60.89,0.635,allocated
2026-08-18 09:01:00,O0148,D024,53.98,0.0411,allocated
2026-08-18 09:10:00,O0149,D002,53.04,0.0642,allocated
2026-08-18 15:33:00,O0150,D023,53.61,0.1595,allocated
2026-08-18 11:06:00,O0151,D010,44.7,0.0517,allocated
2026-08-18 08:24:00,O0152,D011,68.09,0.531,allocated
2026-08-18 13:51:00,O0153,D010,49.66,0.0943,allocated
2026-08-18 21:21:00,O0154,D020,64.63,0.7508,allocated
2026-08-18 18:31:00,O0155,D002,56.52,0.1788,allocated
2026-08-18 18:42:00,O0156,D003,59.61,0.4042,allocated
2026-08-18 22:32:00,O0157,D025,55.03,0.2525,allocated
2026-08-18 06:36:00,O0158,D005,59.33,0.3053,allocated
2026-08-18 21:26:00,O0159,D013,43.62,0.0351,allocated
2026-08-18 15:30:00,O0160,D015,34.06,0.008,allocated
2026-08-19 09:48:00,O0161,D008,60.14,0.0967,cancelled
2026-08-19 16:39:00,O0162,D026,48.04,0.1091,allocated
2026-08-19 12:27:00,O0163,D007,64.81,0.6496,allocated
2026-08-19 12:15:00,O0164,D012,54.79,0.1059,allocated
2026-08-19 10:08:00,O0165,D022,24.42,0.0004,allocated
2026-08-19 19:54:00,O0166,D023,53.41,0.0932,allocated
2026-08-19 15:35:00,O0167,D028,51.12,0.1918,allocated
2026-08-19 18:19:00,O0168,D016,67.65,0.7288,allocated
2026-08-19 11:34:00,O0169,D028,56.0,0.3072,allocated
2026-08-19 10:10:00,O0170,D017,61.28,0.4018,allocated
2026-08-19 15:06:00,O0171,D004,48.85,0.0481,allocated
2026-08-19 22:57:00,O0172,D022,55.07,0.2693,allocated
2026-08-19 21:23:00,O0173,D022,51.21,0.0999,allocated
2026-08-19 10:36:00,O0174,D009,56.62,0.2333,allocated
2026-08-19 18:30:00,O0175,D016,66.9,0.7166,allocated
2026-08-19 10:47:00,O0176,D004,62.62,0.5324,allocated
2026-08-19 13:46:00,O0177,D005,46.86,0.0516,allocated
2026-08-19 08:15:00,O0178,D017,62.76,0.5288,allocated
2026-08-19 09:25:00,O0179,D008,64.67,0.2942,allocated
2026-08-19 15:17:00,O0180,D023,55.73,0.2523,allocated
2026-08-20 06:17:00,O0181,D009,58.48,0.3474,allocated
2026-08-20 22:42:00,O0182,D011,45.82,0.0768,allocated
2026-08-20 12:38:00,O0183,D007,65.04,0.6991,allocated
2026-08-20 06:25:00,O0184,D004,62.16,0.4426,allocated
2026-08-20 06:05:00,O0185,D018,49.95,0.0682,allocated
2026-08-20 22:18:00,O0186,D010,52.64,0.236,allocated
2026-08-20 20:06:00,O0187,D018,60.1,0.3406,allocated
2026-08-20 07:18:00,O0188,D016,54.07,0.0348,allocated
2026-08-20 08:07:00,O0189,D017,63.0,0.549,allocated
2026-08-20 15:01:00,O0190,D027,52.07,0.232,allocated
2026-08-20 18:35:00,O0191,D002,58.76,0.2156,allocated
2026-08-20 20:57:00,O0192,D016,62.92,0.7591,allocated
2026-08-20 22:28:00,O0193,D022,31.91,0.0047,allocated
2026-08-20 14:23:00,O0194,D009,44.42,0.0312,allocated
2026-08-20 15:02:00,O0195,D009,51.87,0.0877,allocated
2026-08-20 14:21:00,O0196,D016,49.62,0.0836,allocated
2026-08-20 19:44:00,O0197,D003,62.55,0.5092,cancelled
2026-08-20 07:14:00,O0198,D017,62.91,0.4754,allocated
2026-08-20 19:18:00,O0199,D017,50.36,0.0831,allocated
2026-08-20 10:48:00,O0200,D011,64.81,0.5084,allocated
2026-08-21 09:03:00,O0201,D021,60.34,0.3875,allocated
2026-08-21 06:18:00,O0202,D009,56.31,0.1953,allocated
2026-08-21 12:15:00,O0203,D006,54.71,0.0978,allocated
2026-08-21 20:35:00,O0204,D028,41.44,0.0124,allocated
2026-08-21 08:31:00,O0205,D027,56.57,0.1273,allocated
2026-08-21 13:19:00,O0206,D003,49.63,0.0362,allocated
2026-08-21 21:13:00,O0207,D010,51.64,0.232,allocated
2026-08-21 18:49:00,O0208,D002,56.27,0.2305,allocated
2026-08-21 12:59:00,O0209,D028,53.96,0.2401,allocated
2026-08-21 20:01:00,O0210,D021,55.55,0.1303,allocated
2026-08-21 20:38:00,O0211,D016,62.95,0.6958,allocated
2026-08-21 17:02:00,O0212,D007,42.24,0.0145,allocated
2026-08-21 06:54:00,O0213,D011,57.37,0.265,allocated
2026-08-21 16:28:00,O0214,D004,51.57,0.0801,allocated
2026-08-21 11:17:00,O0215,D010,55.5,0.2665,allocated
2026-08-21 06:31:00,O0216,D011,56.64,0.258,allocated
2026-08-21 10:58:00,O0217,D004,56.61,0.3856,allocated
2026-08-21 16:36:00,O0218,D005,50.12,0.1655,allocated
2026-08-21 19:02:00,O0219,D018,59.36,0.4162,allocated
2026-08-21 20:41:00,O0220,D016,62.45,0.6786,allocated
2026-08-22 14:11:00,O0221,D008,51.18,0.2171,cancelled
2026-08-22 10:01:00,O0222,D008,61.37,0.3297,allocated
2026-08-22 13:23:00,O0223,D028,48.62,0.0667,allocated
2026-08-22 17:10:00,O0224,D023,56.56,0.2228,allocated
2026-08-22 20:22:00,O0225,D002,56.52,0.2306,allocated
2026-08-22 08:18:00,O0226,D011,59.82,0.2529,allocated
2026-08-22 16:26:00,O0227,D027,48.7,0.1646,allocated
2026-08-22 18:37:00,O0228,D029,58.44,0.2314,allocated
2026-08-22 15:41:00,O0229,D030,49.4,0.1232,cancelled
2026-08-22 16:37:00,O0230,D001,56.55,0.3026,allocated
2026-08-22 06:36:00,O0231,D004,55.26,0.351,allocated
2026-08-22 18:54:00,O0232,D003,61.78,0.4224,cancelled
2026-08-22 11:01:00,O0233,D016,48.3,0.0957,allocated
2026-08-22 18:02:00,O0234,D017,50.93,0.0674,allocated
2026-08-22 19:18:00,O0235,D016,65.44,0.6932,allocated
2026-08-22 08:06:00,O0236,D013,44.7,0.0184,allocated
2026-08-22 06:51:00,O0237,D009,52.01,0.1963,allocated
2026-08-22 13:34:00,O0238,D012,59.16,0.3079,allocated
2026-08-22 07:33:00,O0239,D004,54.07,0.3498,allocated
2026-08-22 22:03:00,O0240,D006,41.34,0.0468,allocated
2026-08-23 20:06:00,O0241,D016,57.47,0.5028,allocated
2026-08-23 10:56:00,O0242,D004,55.43,0.3712,allocated
2026-08-23 18:14:00,O0243,D008,50.96,0.0805,cancelled
2026-08-23 09:36:00,O0244,D004,63.09,0.5079,allocated
2026-08-23 13:51:00,O0245,D014,50.29,0.0432,allocated
2026-08-23 07:48:00,O0246,D023,50.81,0.0697,allocated
2026-08-23 12:33:00,O0247,D010,56.41,0.3154,allocated
2026-08-23 08:53:00,O0248,D011,62.66,0.4045,allocated
2026-08-23 22:25:00,O0249,D002,47.61,0.0421,allocated
2026-08-23 07:00:00,O0250,D004,61.62,0.5327,allocated
2026-08-23 20:44:00,O0251,D025,43.26,0.0277,allocated
2026-08-23 10:30:00,O0252,D024,54.62,0.1322,allocated
2026-08-23 22:42:00,O0253,D010,52.65,0.2767,allocated
2026-08-23 22:37:00,O0254,D011,45.6,0.0859,allocated
2026-08-23 20:25:00,O0255,D016,56.61,0.5607,allocated
2026-08-23 15:59:00,O0256,D017,45.04,0.059,allocated
2026-08-23 21:38:00,O0257,D013,49.77,0.0355,allocated
2026-08-23 21:14:00,O0258,D010,49.84,0.1882,allocated
2026-08-23 06:37:00,O0259,D008,55.64,0.1924,cancelled
2026-08-23 11:32:00,O0260,D027,54.48,0.0897,allocated
2026-08-24 19:16:00,O0261,D016,65.27,0.6434,allocated
2026-08-24 18:57:00,O0262,D016,66.95,0.7053,allocated
2026-08-24 15:46:00,O0263,D008,51.06,0.1771,allocated
2026-08-24 16:07:00,O0264,D002,46.18,0.1034,allocated
2026-08-24 06:28:00,O0265,D005,53.07,0.112,allocated
2026-08-24 07:28:00,O0266,D024,55.04,0.095,allocated
2026-08-24 16:24:00,O0267,D015,43.19,0.0133,allocated
2026-08-24 12:22:00,O0268,D005,48.91,0.0621,allocated
2026-08-24 14:47:00,O0269,D023,51.73,0.1619,allocated
2026-08-24 10:11:00,O0270,D029,38.2,0.005,allocated
2026-08-24 07:43:00,O0271,D004,57.8,0.4603,allocated
2026-08-24 08:40:00,O0272,D009,59.7,0.2667,allocated
2026-08-24 14:41:00,O0273,D010,48.88,0.0939,allocated
2026-08-24 20:23:00,O0274,D030,48.45,0.0502,cancelled
2026-08-24 08:54:00,O0275,D009,54.5,0.1918,allocated
2026-08-24 14:21:00,O0276,D001,60.65,0.5176,allocated
2026-08-24 12:59:00,O0277,D022,50.18,0.0408,allocated
2026-08-24 15:25:00,O0278,D020,51.09,0.1358,allocated
2026-08-24 13:15:00,O0279,D020,53.3,0.0952,allocated
2026-08-24 20:28:00,O0280,D024,40.07,0.0165,allocated
